"city","city_ascii","province_id","province_name","lat","lng","population","density","timezone","ranking","postal","id"
"Longueuil","Longueuil","QC","Quebec","45.5333","-73.5167","254483","2198.2","America/Toronto","2","J4T J4V J4P J4R J4M J4L J4N J4H J4K J4J J4G J3Y J3Z","1124122753"
"Burnaby","Burnaby","BC","British Columbia","49.2667","-122.9667","249125","2750.7","America/Vancouver","2","V5H V5G V5E V5B V5C V5J V5A V3J V3N","1124817304"
"St. Catharines","St. Catharines","ON","Ontario","43.1833","-79.2333","242460","1422.1","America/Toronto","2","L2M L2N L2P L2S L2R L2T L2W","1124140229"
"Regina","Regina","SK","Saskatchewan","50.4547","-104.6067","226404","1266.2","America/Regina","2","S4N S4T S4V S4W S4P S4R S4S S4X S4Y S4Z","1124342541"
"Oakville","Oakville","ON","Ontario","43.4500","-79.6833","213759","1538.5","America/Toronto","2","L6M L6L L6H L6K L6J","1124080468"
"Richmond","Richmond","BC","British Columbia","49.1667","-123.1333","209937","1629.0","America/Vancouver","2","V6Y V6X V6W V6V V7E V7A V7B V7C","1124121940"
"Richmond Hill","Richmond Hill","ON","Ontario","43.8667","-79.4333","202022","2004.4","America/Toronto","2","L4S L4C L4B L4E","1124364273"
"Burlington","Burlington","ON","Ontario","43.3167","-79.8000","186948","1004.4","America/Toronto","2","L7R L7S L7P L7T L7N L7L L7M","1124955083"
"St. John's","St. John's","NL","Newfoundland and Labrador","47.4817","-52.7971","185565","247.8","America/St_Johns","2","A1H A1S A1E A1G A1A A1C A1B","1124741456"
"Kelowna","Kelowna","BC","British Columbia","49.8881","-119.4956","181380","682.4","America/Vancouver","2","V1X V1Y V1P V1W V1V","1124080626"
"Sherbrooke","Sherbrooke","QC","Quebec","45.4000","-71.9000","172950","489.4","America/Toronto","2","J1N J1L J1M J1J J1K J1H J1G J1E J1C J1R","1124559506"
"Sudbury","Sudbury","ON","Ontario","46.4900","-81.0100","166004","52.1","America/Toronto","2","P0M P3N P3L P3B P3C P3A P3G P3Y P3P","1124539524"
"Barrie","Barrie","ON","Ontario","44.3711","-79.6769","154676","1493.1","America/Toronto","2","L9J L4N L4M","1124340223"
"Abbotsford","Abbotsford","BC","British Columbia","49.0500","-122.3167","153524","409.0","America/Vancouver","2","V4X V2T V2S V3G","1124808029"
"Lévis","Levis","QC","Quebec","46.8000","-71.1833","149683","334.1","America/Toronto","2","G7A G6J G6K G6C G6Z G6X G6Y G6V G6W","1124958950"
"Coquitlam","Coquitlam","BC","British Columbia","49.2839","-122.7919","148625","1216.7","America/Vancouver","2","V3C V3E V3B V3J V3K","1124000500"
"Saguenay","Saguenay","QC","Quebec","48.4167","-71.0667","144723","128.7","America/Toronto","2","G8A G7T G7Z G7G G7B G7N G7H G7K G7J G7P G7S G7Y G7X","1124001930"
"Guelph","Guelph","ON","Ontario","43.5500","-80.2500","144356","1644.1","America/Toronto","2","N1C N1G N1E N1K N1H N1L","1124968815"
"Trois-Rivières","Trois-Rivieres","QC","Quebec","46.3500","-72.5500","139163","482.1","America/Toronto","2","G9C G9B G9A G8T G8V G8W G8Y G8Z","1124407487"
"Whitby","Whitby","ON","Ontario","43.8833","-78.9417","138501","944.1","America/Toronto","2","L0B L1P L1R L1M L1N","1124112077"
"Cambridge","Cambridge","ON","Ontario","43.3972","-80.3114","138479","1225.5","America/Toronto","2","N3H N3C N3E N1R N1S N1P N1T","1124113576"
"Milton","Milton","ON","Ontario","43.5083","-79.8833","132979","365.5","America/Toronto","2","L7J L0P L9T L9E","1124001426"
"Ajax","Ajax","ON","Ontario","43.8583","-79.0364","126666","1900.6","America/Toronto","2","L1Z L1T L1S","1124382916"
"Waterloo","Waterloo","ON","Ontario","43.4667","-80.5167","121436","1895.8","America/Toronto","2","N2K N2J N2L N2V N2T","1124321390"
"Terrebonne","Terrebonne","QC","Quebec","45.7000","-73.6333","119944","780.1","America/Toronto","2","J6Y J6X J6W J7M J6V","1124993674"
"Moncton","Moncton","NB","New Brunswick","46.1328","-64.7714","119785","564.9","America/Moncton","2","E1H E1A E1C E1E E1G","1124521303"
"Saanich","Saanich","BC","British Columbia","48.4840","-123.3810","117735","1136.6","America/Vancouver","2","V9A V8N V8Z V8P V9E V8Y V8X V8R","1124000949"
"White Rock","White Rock","BC","British Columbia","49.0250","-122.8028","109167","4240.6","America/Vancouver","2","V4B","1124260555"
"Thunder Bay","Thunder Bay","ON","Ontario","48.3822","-89.2461","108843","332.1","America/Toronto","2","P7G P7E P7B P7C P7J P7K","1124398712"
"Delta","Delta","BC","British Columbia","49.0847","-123.0586","108455","603.7","America/Vancouver","2","V4C V4E V4G V4K V4M V4L","1124001200"
"Nanaimo","Nanaimo","BC","British Columbia","49.1642","-123.9364","106079","1104.1","America/Vancouver","2","V9R V9S V9V V9T","1124623893"
"Brantford","Brantford","ON","Ontario","43.1667","-80.2500","104688","1061.2","America/Toronto","2","N3P N3R N3S N3T N3V","1124737006"
"Chatham","Chatham","ON","Ontario","42.4229","-82.1324","103988","42.4","America/Toronto","2","N8A N0P N7L N7M","1124393373"
"Clarington","Clarington","ON","Ontario","43.9350","-78.6083","101427","166.0","America/Toronto","2","L0B L0A L1E L1B L1C","1124000882"
"Saint-Jérôme","Saint-Jerome","QC","Quebec","45.7833","-74.0000","100859","889.5","America/Toronto","2","J7Y J7Z J5L","1124268324"
"Red Deer","Red Deer","AB","Alberta","52.2681","-113.8111","100844","966.5","America/Edmonton","2","T4S T4R T4P T4N","1124404130"
"Pickering","Pickering","ON","Ontario","43.8354","-79.0890","99186","429.2","America/Toronto","3","L0H L1X L1Y L1V L1W","1124781814"
"Lethbridge","Lethbridge","AB","Alberta","49.6942","-112.8328","98406","812.5","America/Edmonton","3","T1H T1J T1K","1124321200"
"Kamloops","Kamloops","BC","British Columbia","50.6761","-120.3408","97902","328.6","America/Vancouver","3","V2E V2C V1S V2B","1124735582"
"Saint-Jean-sur-Richelieu","Saint-Jean-sur-Richelieu","QC","Quebec","45.3167","-73.2667","97873","431.3","America/Toronto","3","J2W J2Y J2X J3A J3B","1124278447"
"Niagara Falls","Niagara Falls","ON","Ontario","43.0600","-79.1067","94415","449.1","America/Toronto","3","L0S L2E L2G L2H L2J L3B","1124704011"
"Cape Breton","Cape Breton","NS","Nova Scotia","46.1389","-60.1931","93694","38.7","America/Glace_Bay","3","B2A B1S B1V B1G B1B B1C B1A B1L B1M B1K B1H B1T B1R B1P B1Y B1E B1N B1J","1124000383"
"Chilliwack","Chilliwack","BC","British Columbia","49.1577","-121.9509","93203","356.6","America/Vancouver","3","V4Z V2R V2P","1124531262"
"Brossard","Brossard","QC","Quebec","45.4667","-73.4500","91525","2025.3","America/Toronto","2","J4Y J4X J4Z J4W","1124655166"
"Maple Ridge","Maple Ridge","BC","British Columbia","49.2167","-122.6000","90990","339.7","America/Vancouver","3","V4R V2W V2X","1124001699"
"Newmarket","Newmarket","ON","Ontario","44.0500","-79.4667","87942","2284.1","America/Toronto","2","L3X L3Y","1124400266"
"Repentigny","Repentigny","QC","Quebec","45.7333","-73.4667","86100","1399.6","America/Toronto","3","J6A J5Z J5Y","1124379778"
"Peterborough","Peterborough","ON","Ontario","44.3000","-78.3167","84793","1291.8","America/Toronto","3","K9K K9J K9H K9L","1124440356"
"Drummondville","Drummondville","QC","Quebec","45.8833","-72.4833","79258","320.7","America/Toronto","3","J2E J2C J2B J2A J1Z","1124624283"
"Kawartha Lakes","Kawartha Lakes","ON","Ontario","44.3500","-78.7500","79247","26.1","America/Toronto","3","L0K L0B L0A K9V K0M","1124000852"
"New Westminster","New Westminster","BC","British Columbia","49.2069","-122.9111","78916","5052.4","America/Vancouver","2","V3L V3M","1124196524"
"Prince George","Prince George","BC","British Columbia","53.9169","-122.7494","76708","242.2","America/Vancouver","3","V2L V2K V2N V2M","1124733292"
"Caledon","Caledon","ON","Ontario","43.8667","-79.8667","76581","111.2","America/Toronto","3","L7K L7C L7E","1124070007"
"Châteauguay","Chateauguay","QC","Quebec","45.3800","-73.7500","75891","1481.2","America/Toronto","3","J6K J6J","1124437897"
"Belleville","Belleville","ON","Ontario","44.1667","-77.3833","75052","222.8","America/Toronto","3","K8N K8P K0K","1124786959"
"Airdrie","Airdrie","AB","Alberta","51.2917","-114.0144","74100","878.1","America/Edmonton","3","T4B T4A","1124990202"
"Sarnia","Sarnia","ON","Ontario","42.9994","-82.3089","73944","439.6","America/Toronto","3","N7T N7V N7W N7S N7X","1124509835"
"Wood Buffalo","Wood Buffalo","AB","Alberta","57.6042","-111.3284","72326","1.2","America/Edmonton","3","T9H T9K T9J T0P","1124001123"
"Sault Ste. Marie","Sault Ste. Marie","ON","Ontario","46.5333","-84.3500","72051","324.6","America/Toronto","3","P6A P6C P6B","1124810690"
"Saint John","Saint John","NB","New Brunswick","45.2806","-66.0761","69895","221.5","America/Moncton","3","E2P E2L E2M E2N E2H E2J E2K","1124631364"
"Welland","Welland","ON","Ontario","42.9833","-79.2333","69302","686.9","America/Toronto","3","L3B L3C","1124745616"
"Granby","Granby","QC","Quebec","45.4000","-72.7333","69025","452.1","America/Toronto","3","J2G J2J J2H","1124502071"
"St. Albert","St. Albert","AB","Alberta","53.6303","-113.6258","68232","1426.4","America/Edmonton","3","T8N","1124850754"
"Fredericton","Fredericton","NB","New Brunswick","45.9636","-66.6431","64614","471.3","America/Moncton","3","E3G E3C E3B E3A","1124061289"
"Grande Prairie","Grande Prairie","AB","Alberta","55.1708","-118.7947","64141","483.3","America/Edmonton","3","T8V T8X T8W","1124505481"
"Medicine Hat","Medicine Hat","AB","Alberta","50.0417","-110.6775","63382","565.1","America/Edmonton","3","T1A T1B T1C","1124303972"
"Halton Hills","Halton Hills","ON","Ontario","43.6300","-79.9500","62951","227.4","America/Toronto","3","L7J L7G L0P L9T","1124000788"
"Aurora","Aurora","ON","Ontario","44.0000","-79.4667","62057","1241.1","America/Toronto","3","L4G","1124085034"
"Port Coquitlam","Port Coquitlam","BC","British Columbia","49.2625","-122.7811","61498","2108.7","America/Vancouver","2","V3C V3B","1124473757"
"Mirabel","Mirabel","QC","Quebec","45.6500","-74.0833","61108","126.2","America/Toronto","3","J7J J7N","1124182375"
"Blainville","Blainville","QC","Quebec","45.6700","-73.8800","59819","1088.2","America/Toronto","3","J7B J7C","1124000623"
"Lac-Brome","Lac-Brome","QC","Quebec","45.2167","-72.5167","58889","27.3","America/Toronto","3","J0E","1124000579"
"North Vancouver","North Vancouver","BC","British Columbia","49.3201967175102","-123.069940224484","58120","4913.0","America/Vancouver","2","V7L V7M","1124000146"
"Saint-Hyacinthe","Saint-Hyacinthe","QC","Quebec","45.6167","-72.9500","57239","303.1","America/Toronto","3","J2T J2S J2R","1124010116"
"Beloeil","Beloeil","QC","Quebec","45.5667","-73.2000","52959","988.8","America/Toronto","3","J3G","1124469084"
"North Bay","North Bay","ON","Ontario","46.3000","-79.4500","52662","166.9","America/Toronto","3","P1A P1B P1C","1124058496"
"Charlottetown","Charlottetown","PE","Prince Edward Island","46.2403","-63.1347","52390","876.6","America/Halifax","3","C1C C1A C1E","1124897699"
